Training log:
epoch	loss	v_loss	|	tr_auc	tr_f1	tr_pre	tr_rec	|	v_auc	v_f1	v_pre	v_rec	|	t_auc	t_f1	t_pre	t_rec
59	0.5299	0.8396	|	0.8272	0.6805	0.8205	0.5813	|	0.5614	0.4143	0.4860	0.3610	|	0.5161	0.3995	0.5060	0.3301	|  Best result at epoch 31
60	0.5416	0.8411	|	0.8178	0.7214	0.6381	0.8298	|	0.5658	0.5644	0.4908	0.6639	|	0.5159	0.5493	0.4836	0.6357	|  Best result at epoch 31
61	0.5711	0.7715	|	0.8400	0.7237	0.8319	0.6404	|	0.5604	0.4342	0.4896	0.3900	|	0.5164	0.4200	0.5014	0.3614	|  Best result at epoch 31
62	0.5136	0.7857	|	0.8410	0.7448	0.8079	0.6908	|	0.5607	0.4839	0.5000	0.4689	|	0.5165	0.4521	0.4919	0.4182	|  Best result at epoch 31
63	0.4998	0.8026	|	0.8440	0.7601	0.8079	0.7177	|	0.5597	0.5031	0.5085	0.4979	|	0.5159	0.4605	0.4906	0.4339	|  Best result at epoch 31
64	0.4908	0.8190	|	0.8479	0.7695	0.8155	0.7284	|	0.5594	0.5042	0.5106	0.4979	|	0.5156	0.4592	0.4889	0.4329	|  Best result at epoch 31
65	0.4827	0.8341	|	0.8514	0.7768	0.8166	0.7407	|	0.5591	0.5063	0.5105	0.5021	|	0.5152	0.4606	0.4859	0.4378	|  Best result at epoch 31
66	0.4754	0.8477	|	0.8557	0.7842	0.8239	0.7483	|	0.5584	0.5031	0.5085	0.4979	|	0.5153	0.4613	0.4875	0.4378	|  Best result at epoch 31
67	0.4680	0.8620	|	0.8591	0.7931	0.8241	0.7644	|	0.5580	0.5052	0.5041	0.5062	|	0.5153	0.4745	0.4896	0.4603	|  Best result at epoch 31
68	0.4610	0.8759	|	0.8643	0.7938	0.8352	0.7563	|	0.5569	0.4979	0.5109	0.4855	|	0.5150	0.4579	0.4883	0.4310	|  Best result at epoch 31
69	0.4544	0.8912	|	0.8655	0.7915	0.7996	0.7837	|	0.5566	0.5110	0.4923	0.5311	|	0.5154	0.4949	0.4913	0.4985	|  Best result at epoch 31
70	0.4529	0.9087	|	0.8727	0.7578	0.8514	0.6828	|	0.5531	0.4521	0.5025	0.4108	|	0.5147	0.4293	0.4949	0.3790	|  Best result at epoch 31
71	0.4633	0.9204	|	0.8677	0.7727	0.7126	0.8438	|	0.5564	0.5421	0.4932	0.6017	|	0.5154	0.5256	0.4813	0.5788	|  Best result at epoch 31
72	0.4787	0.8943	|	0.8788	0.7982	0.8609	0.7440	|	0.5527	0.4653	0.5049	0.4315	|	0.5164	0.4388	0.4909	0.3967	|  Best result at epoch 31
73	0.4412	0.9089	|	0.8799	0.8110	0.8208	0.8014	|	0.5533	0.4960	0.4824	0.5104	|	0.5164	0.4946	0.4937	0.4956	|  Best result at epoch 31
74	0.4298	0.9313	|	0.8849	0.8134	0.8493	0.7805	|	0.5525	0.4968	0.5043	0.4896	|	0.5165	0.4711	0.4936	0.4505	|  Best result at epoch 31
75	0.4194	0.9482	|	0.8873	0.8262	0.8334	0.8191	|	0.5526	0.5090	0.4922	0.5270	|	0.5162	0.4927	0.4898	0.4956	|  Best result at epoch 31
76	0.4130	0.9726	|	0.8919	0.8207	0.8659	0.7799	|	0.5509	0.4741	0.4933	0.4564	|	0.5164	0.4524	0.4914	0.4192	|  Best result at epoch 31
77	0.4107	0.9791	|	0.8918	0.8183	0.7901	0.8486	|	0.5520	0.5271	0.4945	0.5643	|	0.5162	0.5102	0.4838	0.5397	|  Best result at epoch 31
78	0.4162	0.9960	|	0.8961	0.7734	0.8742	0.6935	|	0.5488	0.4378	0.4922	0.3942	|	0.5173	0.4257	0.5061	0.3673	|  Best result at epoch 31
79	0.4418	1.0001	|	0.8935	0.8031	0.7480	0.8669	|	0.5533	0.5465	0.4949	0.6100	|	0.5170	0.5275	0.4818	0.5828	|  Best result at epoch 31
80	0.4359	0.9513	|	0.9018	0.8204	0.8781	0.7697	|	0.5495	0.4543	0.4904	0.4232	|	0.5180	0.4493	0.5036	0.4055	|  Best result at epoch 31
81	0.4034	0.9775	|	0.9032	0.8401	0.8472	0.8331	|	0.5515	0.5160	0.4981	0.5353	|	0.5179	0.4902	0.4897	0.4907	|  Best result at epoch 31
