Training log:
epoch	loss	v_loss	|	tr_maf1	tr_f1	tr_pre	tr_rec	|	v_auc	v_f1	v_pre	v_rec	|	t_maf1	t_f1	t_pre	t_rec
66	0.4684	0.4587	|	0.8688	0.8661	0.8661	0.8661	|	0.8519	0.8476	0.8476	0.8476	|	0.8027	0.8049	0.8049	0.8049	|  Best result at epoch 66
67	0.4579	0.4501	|	0.8675	0.8645	0.8645	0.8645	|	0.8422	0.8415	0.8415	0.8415	|	0.8027	0.8049	0.8049	0.8049	|  Best result at epoch 66
68	0.4493	0.4422	|	0.8650	0.8615	0.8615	0.8615	|	0.8422	0.8415	0.8415	0.8415	|	0.8100	0.8110	0.8110	0.8110	|  Best result at epoch 66
69	0.4414	0.4347	|	0.8606	0.8569	0.8569	0.8569	|	0.8473	0.8476	0.8476	0.8476	|	0.8154	0.8171	0.8171	0.8171	|  Best result at epoch 66
70	0.4338	0.4274	|	0.8673	0.8645	0.8645	0.8645	|	0.8473	0.8476	0.8476	0.8476	|	0.8285	0.8293	0.8293	0.8293	|  Best result at epoch 66
71	0.4265	0.4203	|	0.8677	0.8645	0.8645	0.8645	|	0.8473	0.8476	0.8476	0.8476	|	0.8391	0.8415	0.8415	0.8415	|  Best result at epoch 66
72	0.4195	0.4133	|	0.8691	0.8661	0.8661	0.8661	|	0.8492	0.8537	0.8537	0.8537	|	0.8391	0.8415	0.8415	0.8415	|  Best result at epoch 72
73	0.4125	0.4064	|	0.8715	0.8691	0.8691	0.8691	|	0.8564	0.8537	0.8537	0.8537	|	0.8441	0.8476	0.8476	0.8476	|  Best result at epoch 72
74	0.4057	0.4023	|	0.8699	0.8661	0.8661	0.8661	|	0.8678	0.8598	0.8598	0.8598	|	0.8395	0.8415	0.8415	0.8415	|  Best result at epoch 74
75	0.4015	0.4155	|	0.8649	0.8615	0.8615	0.8615	|	0.8601	0.8537	0.8537	0.8537	|	0.8312	0.8354	0.8354	0.8354	|  Best result at epoch 74
76	0.4148	0.5148	|	0.8215	0.8113	0.8113	0.8113	|	0.8113	0.7927	0.7927	0.7927	|	0.7373	0.7256	0.7256	0.7256	|  Best result at epoch 74
77	0.5135	0.5890	|	0.8188	0.8158	0.8158	0.8158	|	0.7613	0.7683	0.7683	0.7683	|	0.7948	0.7988	0.7988	0.7988	|  Best result at epoch 74
78	0.5883	0.5837	|	0.7784	0.7732	0.7732	0.7732	|	0.7860	0.7683	0.7683	0.7683	|	0.7218	0.7134	0.7134	0.7134	|  Best result at epoch 74
