Training log:
epoch	loss	v_loss	|	tr_maf1	tr_f1	tr_pre	tr_rec	|	v_auc	v_f1	v_pre	v_rec	|	t_maf1	t_f1	t_pre	t_rec
72	0.4825	0.4610	|	0.8586	0.8584	0.8584	0.8584	|	0.8167	0.8232	0.8232	0.8232	|	0.8408	0.8415	0.8415	0.8415	|  Best result at epoch 69
73	0.4604	0.4111	|	0.8574	0.8554	0.8554	0.8554	|	0.8322	0.8293	0.8293	0.8293	|	0.8245	0.8293	0.8293	0.8293	|  Best result at epoch 69
74	0.4104	0.3986	|	0.8677	0.8645	0.8645	0.8645	|	0.8640	0.8598	0.8598	0.8598	|	0.8411	0.8415	0.8415	0.8415	|  Best result at epoch 74
75	0.3977	0.4090	|	0.8542	0.8524	0.8524	0.8524	|	0.8104	0.8110	0.8110	0.8110	|	0.8371	0.8415	0.8415	0.8415	|  Best result at epoch 74
76	0.4085	0.5120	|	0.8088	0.7991	0.7991	0.7991	|	0.7880	0.7683	0.7683	0.7683	|	0.7565	0.7439	0.7439	0.7439	|  Best result at epoch 74
77	0.5103	0.6563	|	0.7546	0.7580	0.7580	0.7580	|	0.7906	0.7866	0.7866	0.7866	|	0.7417	0.7561	0.7561	0.7561	|  Best result at epoch 74
78	0.6562	0.4754	|	0.8360	0.8295	0.8295	0.8295	|	0.7917	0.7805	0.7805	0.7805	|	0.7670	0.7561	0.7561	0.7561	|  Best result at epoch 74
79	0.4741	0.3890	|	0.8666	0.8645	0.8645	0.8645	|	0.8389	0.8354	0.8354	0.8354	|	0.8378	0.8415	0.8415	0.8415	|  Best result at epoch 74
80	0.3883	0.3736	|	0.8760	0.8737	0.8737	0.8737	|	0.8485	0.8537	0.8537	0.8537	|	0.8613	0.8659	0.8659	0.8659	|  Best result at epoch 74
81	0.3727	0.3658	|	0.8759	0.8752	0.8752	0.8752	|	0.8498	0.8476	0.8476	0.8476	|	0.8752	0.8780	0.8780	0.8780	|  Best result at epoch 74
82	0.3650	0.3633	|	0.8687	0.8676	0.8676	0.8676	|	0.8667	0.8659	0.8659	0.8659	|	0.8493	0.8537	0.8537	0.8537	|  Best result at epoch 82
83	0.3624	0.3783	|	0.8784	0.8782	0.8782	0.8782	|	0.8437	0.8476	0.8476	0.8476	|	0.8572	0.8659	0.8659	0.8659	|  Best result at epoch 82
84	0.3775	0.4035	|	0.8493	0.8508	0.8508	0.8508	|	0.8595	0.8598	0.8598	0.8598	|	0.8143	0.8232	0.8232	0.8232	|  Best result at epoch 82
